Time,DEMS,VABB,VABP,VANP,VEAT,VECC,VEPT,VEVZ,VICH,VIJP,VILK,VOHY,VOMM,VOMP,VEMN,VISR
00:00,74.39,0.00,12.86,0.00,0.00,12.06,15.48,6.59,9.80,4.14,0.00,0.00,6.80,0.00,0.00,0.00
00:30,223.17,0.00,32.34,0.00,0.00,2.50,44.76,9.83,25.20,64.32,0.00,0.00,7.50,0.00,1.40,0.00
01:00,223.17,0.00,32.34,0.00,0.00,9.88,43.90,8.52,24.50,64.32,0.00,0.00,10.00,0.00,18.20,0.00
01:30,223.17,0.00,32.34,0.00,0.00,7.08,57.72,14.34,25.90,64.32,0.00,0.00,9.30,0.00,25.20,0.00
02:00,223.17,0.00,32.34,0.00,0.00,11.38,29.70,14.34,25.20,64.32,0.00,0.00,14.88,0.00,25.20,0.00
02:30,223.17,0.00,32.34,0.00,0.00,9.30,44.34,14.34,25.20,64.32,0.00,0.00,14.18,0.00,25.20,0.00
03:00,223.17,0.00,32.34,0.00,0.00,14.56,43.92,14.34,25.20,64.32,0.00,0.00,13.50,0.00,25.20,0.00
03:30,223.17,0.00,32.34,0.00,0.00,17.04,43.92,14.34,25.20,64.32,0.00,0.00,12.50,0.00,25.20,0.00
04:00,223.17,0.00,32.34,0.00,0.00,14.88,43.92,5.82,25.20,64.32,0.00,0.00,7.50,0.00,25.20,0.00
04:30,223.17,0.00,32.34,0.00,0.00,15.16,43.92,11.37,24.50,38.74,0.00,0.00,16.30,0.00,25.20,0.00
05:00,223.17,0.00,32.34,0.00,0.00,13.50,43.92,13.57,25.90,21.44,0.00,0.00,14.18,0.00,25.20,0.00
05:30,223.17,0.00,32.34,0.00,0.00,5.70,43.92,14.34,25.20,7.02,0.00,0.00,13.50,0.00,25.20,0.00
06:00,223.17,0.00,32.34,0.00,0.00,10.00,43.92,14.34,25.20,58.65,0.00,0.00,7.50,0.00,23.80,0.00
06:30,223.17,0.00,32.34,0.00,0.00,8.60,43.92,14.34,25.20,0.00,0.00,0.00,12.06,0.00,0.00,0.00
07:00,223.17,0.00,32.34,0.00,0.00,7.78,43.92,14.34,25.20,0.00,0.00,0.00,13.50,0.00,0.00,0.00
07:30,223.17,0.00,32.34,0.00,0.00,9.30,43.92,15.11,25.20,0.00,0.00,0.00,14.18,0.00,0.00,0.00
08:00,223.17,0.00,32.34,0.00,0.00,8.18,43.92,13.57,25.20,0.00,0.00,0.00,12.38,0.00,0.00,0.00
08:30,223.17,0.00,32.34,0.00,0.00,9.58,43.92,14.34,25.20,0.00,0.00,0.00,13.08,0.00,0.00,0.00
09:00,223.17,0.00,28.94,0.00,0.00,7.50,43.92,15.11,25.20,0.00,0.00,0.00,9.60,0.00,0.00,0.00
09:30,223.17,0.00,28.94,0.00,0.00,16.28,43.92,14.34,25.20,0.00,0.00,0.00,10.70,0.00,0.00,0.00
10:00,223.17,0.00,23.46,0.00,0.00,11.10,43.92,13.57,25.20,0.00,0.00,0.00,10.00,0.00,0.00,0.00
10:30,223.17,0.00,31.02,0.00,0.00,8.60,43.50,14.34,25.20,0.00,0.00,0.00,10.70,0.00,0.00,0.00
11:00,223.17,0.00,28.94,0.00,0.00,10.00,43.92,15.11,25.20,0.00,0.00,0.00,17.26,0.00,0.00,0.00
